,ZONA_O,NOME_O,CO_O_X,CO_O_Y,CO_DOM_X,CO_DOM_Y,DATA,DIASEMANA,HORA_SAIDA,ZONA_D,NOME_D,CO_D_X,CO_D_Y,HORA_CHEG,DURACAO,IDADE,SEXO,TIPVG,MODOPRIN,MODO1,MODO2,MODO3,MODO4,FE_VIA,MOTIVO_O,MOTIVO_D,CO_T1_X,CO_T1_Y,CO_T2_X,CO_T2_Y,CO_T3_X,CO_T3_Y,CO_TR1_X,CO_TR1_Y,CO_TR2_X,CO_TR2_Y,PE_BICI,VIA_BICI,TP_ESTBICI,QT_BICICLE,QT_AUTO,QT_MOTO,CRITERIOBR,RENDA_FA
3069,84,PUC,-23.53614916238841,-46.66693227490833,-23.53069663073937,-46.66339657267973,6/09/2018,3,09:05:00,93,Francisco Matarazzo,-23.53069663073937,-46.66339657267973,09:15:00,600,39,1,4,15,15,0,0,0,58.538265,4,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.559065879668395,-46.65866951842386,0.0,0.0,1,2,3,1,1,0,1,14574.08
3185,26,Bexiga,-23.55932718390636,-46.64085401033897,-23.56569426331579,-46.63907178580595,28/04/2018,5,18:00:00,23,Centro Cultural,-23.56569426331579,-46.63907178580595,18:07:00,420,30,1,4,15,15,0,0,0,81.458897,4,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.56569426331579,-46.63907178580595,0.0,0.0,1,1,3,1,0,0,2,6843.13
3266,26,Bexiga,-23.555714963706453,-46.641720147389506,-23.555714963706453,-46.641720147389506,28/10/2017,5,05:00:00,22,Pires da Mota,-23.56510829907615,-46.6355476071613,05:30:00,1800,19,1,4,15,15,0,0,0,93.612326,8,3,0.0,0.0,0.0,0.0,0.0,0.0,-23.56510829907615,-46.6355476071613,0.0,0.0,8,1,1,0,0,0,5,2000.0
3267,26,Bexiga,-23.555714963706453,-46.641720147389506,-23.555714963706453,-46.641720147389506,28/10/2017,5,17:30:00,4,Ladeira da Memória,-23.551369728704177,-46.64016747309047,17:35:00,300,19,1,4,15,15,0,0,0,93.612326,8,7,0.0,0.0,0.0,0.0,0.0,0.0,-23.56510829907615,-46.6355476071613,0.0,0.0,7,1,8,0,0,0,5,2000.0
3490,5,República,-23.543438002368095,-46.63789461408772,-23.551486353067986,-46.64195167836993,23/11/2017,3,19:00:00,4,Ladeira da Memória,-23.551486353067986,-46.64195167836993,19:15:00,900,27,1,4,15,15,0,0,0,286.57084199999997,2,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.543438002368095,-46.63789461408772,0.0,0.0,8,1,8,1,0,0,3,3391.41
3498,5,República,-23.542612429393145,-46.64595522890667,-23.542612429393145,-46.64595522890667,24/05/2018,3,10:00:00,71,Brooklin,-23.61445231277718,-46.68259187377152,10:45:00,2700,28,1,4,15,15,0,0,0,301.51934900000003,8,3,0.0,0.0,0.0,0.0,0.0,0.0,-23.542612429393145,-46.64595522890667,0.0,0.0,6,1,3,2,0,0,4,2884.19
3554,5,República,-23.54726361469897,-46.644191262147125,-23.54726361469897,-46.644191262147125,18/08/2018,5,05:30:00,35,Santa Cecília,-23.532652550224196,-46.6493179164937,05:40:00,600,29,1,4,15,15,0,0,0,234.073129,8,3,0.0,0.0,0.0,0.0,0.0,0.0,-23.532652550224196,-46.6493179164937,0.0,0.0,1,1,3,1,0,0,4,3500.0
3611,5,República,-23.544384864446037,-46.64059013443395,-23.522825587200195,-46.648656791232774,8/04/2018,6,19:45:00,8,Bom Retiro,-23.522825587200195,-46.648656791232774,20:00:00,900,39,1,4,15,15,0,0,0,120.56741399999999,2,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.522825587200195,-46.648656791232774,0.0,0.0,7,1,3,2,1,0,2,5513.75
3616,5,República,-23.543288688767973,-46.63835311867541,-23.52768968552864,-46.634408937231676,23/04/2018,0,18:00:00,9,Ponte Pequena,-23.52768968552864,-46.634408937231676,18:20:00,1200,29,1,4,15,15,0,0,0,29.26663,2,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.543288688767973,-46.63835311867541,0.0,0.0,1,1,3,1,0,0,4,4100.0
3662,5,República,-23.54612025494767,-46.644715763575505,-23.563384754651885,-46.64399023300702,14/09/2018,4,15:28:00,5,República,-23.54532890601612,-46.63926974102889,15:38:00,600,49,1,4,15,15,0,0,0,86.43248100000001,3,10,0.0,0.0,0.0,0.0,0.0,0.0,-23.563384754651885,-46.64399023300702,0.0,0.0,1,2,4,2,3,0,1,11125.56
3663,5,República,-23.54532890601612,-46.63926974102889,-23.563384754651885,-46.64399023300702,14/09/2018,4,15:45:00,27,Bela Vista,-23.563384754651885,-46.64399023300702,16:00:00,900,49,1,4,15,15,0,0,0,86.43248100000001,10,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.563384754651885,-46.64399023300702,0.0,0.0,1,1,3,2,3,0,1,11125.56
3912,5,República,-23.544433089747738,-46.646281535955076,-23.544964932401914,-46.68931671083891,14/10/2017,5,17:00:00,36,Marechal Deodoro,-23.530213363653644,-46.658758062662585,17:20:00,1200,29,1,4,15,15,0,0,0,34.302996,1,1,0.0,0.0,0.0,0.0,0.0,0.0,-23.530213363653644,-46.658758062662585,0.0,0.0,8,2,3,1,0,0,3,4689.12
3927,5,República,-23.546040297492265,-46.638602709394476,-23.531677966436234,-46.68047950552845,3/09/2018,0,17:00:00,88,Perdizes,-23.531677966436234,-46.68047950552845,17:40:00,2400,56,1,4,15,15,0,0,0,199.947275,3,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.546040297492265,-46.638602709394476,0.0,0.0,7,1,8,2,1,0,2,12000.0
4391,35,Santa Cecília,-23.532652550224196,-46.6493179164937,-23.54726361469897,-46.644191262147125,18/08/2018,5,18:30:00,5,República,-23.54726361469897,-46.644191262147125,18:45:00,900,29,1,4,15,15,0,0,0,234.073129,3,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.532652550224196,-46.6493179164937,0.0,0.0,1,1,3,1,0,0,4,3500.0
4435,35,Santa Cecília,-23.53087308950123,-46.64766016182939,-23.56956414189835,-46.62915653720453,28/02/2018,2,22:50:00,21,Aclimação,-23.56956414189835,-46.62915653720453,23:20:00,1800,52,1,4,15,15,0,0,0,159.931645,3,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.53087308950123,-46.64766016182939,0.0,0.0,7,1,3,1,0,0,3,4209.08
4920,2,Parque Dom Pedro,-23.54869688456449,-46.629849357988725,-23.54869688456449,-46.629849357988725,2/08/2018,3,08:00:00,20,Glicério,-23.56294976608618,-46.631279101721525,08:10:00,600,71,1,4,15,15,0,0,0,45.993065,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,8,2,0,0,5,1908.0
4921,2,Parque Dom Pedro,-23.54869688456449,-46.629849357988725,-23.54869688456449,-46.629849357988725,2/08/2018,3,10:50:00,20,Glicério,-23.56294976608618,-46.631279101721525,11:00:00,600,71,1,4,15,15,0,0,0,45.993065,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,8,2,0,0,5,1908.0
4922,2,Parque Dom Pedro,-23.54869688456449,-46.629849357988725,-23.54869688456449,-46.629849357988725,2/08/2018,3,13:20:00,3,Praça João Mendes,-23.554415720450567,-46.628734617389064,13:30:00,600,71,1,4,15,15,0,0,0,45.993065,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,8,2,0,0,5,1908.0
4923,2,Parque Dom Pedro,-23.54869688456449,-46.629849357988725,-23.54869688456449,-46.629849357988725,2/08/2018,3,18:00:00,3,Praça João Mendes,-23.554415720450567,-46.628734617389064,18:10:00,600,71,1,4,15,15,0,0,0,45.993065,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,8,2,0,0,5,1908.0
